DAG-and-IP3-signaling	ERK1-ERK2-pathway	FasL--CD95L-signaling	Integrin-signaling	MAPK6-MAPK4-signaling	PI3K-AKT-Signaling	Signaling-by-Activin	Signaling-by-BMP	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-FGFR	Signaling-by-GPCR	Signaling-by-Hedgehog	Signaling-by-Hippo	Signaling-by-Insulin-receptor	Signaling-by-Leptin	Signaling-by-MET	Signaling-by-MST1	Signaling-by-NOTCH	Signaling-by-NTRKs	Signaling-by-Nuclear-Receptors	Signaling-by-PDGF	Signaling-by-PTK6	Signaling-by-Rho-GTPases	Signaling-by-SCF-KIT	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-VEGF	Signaling-by-WNT	TNF-signaling	TRAIL-signaling	mTOR-signalling	p75-NTR-receptor-mediated-signalling
DAG-and-IP3-signaling	0.0	0.0727362691736764	0.008471814923427827	0.0003284072249589491	0.009150326797385621	0.031141868512110725	0.023142112125162973	0.002257336343115124	0.1266137040714995	0.11732673267326732	0.11683168316831684	0.07348560079443893	0.07897334649555775	0.011699707507312317	0.0012965964343598054	0.0343801652892562	0.0019336126329358686	0.029499502817368246	0.0	0.019268451992161987	0.038232373386295926	0.012063906097163351	0.06881188118811882	0.03560631508229761	0.017321785476349102	0.0712166172106825	0.026427406199021206	0.029392338177014532	0.01737835153922542	0.03305377405032067	0.009794319294809012	0.008471814923427827	0.009737098344693282	0.0035924232527759633
ERK1-ERK2-pathway	0.0013559322033898306	0.0	0.00725544158118589	0.0002516356316054353	0.007526342197691922	0.0	0.018820577164366373	0.0017369727047146402	0.06875508543531327	0.052481692432872255	0.05370219690805533	0.023596419853539462	0.031226765799256505	0.008993255058705971	0.000996512207274539	0.008141112618724558	0.0014884644008930786	0.008430785966820778	0.0	0.017605633802816902	0.01631878557874763	0.010552763819095477	0.006916192026037429	0.02914624709827186	0.014300306435137897	0.010980073200488003	0.02110022607385079	0.003794037940379404	0.013912453342382083	0.02452316076294278	0.008268604359809572	0.00725544158118589	0.010518407212622089	0.003263052208835341
FasL--CD95L-signaling	0.041990668740279936	0.07009345794392523	0.0	0.004431314623338257	0.0015128593040847202	0.05754276827371695	0.02118003025718608	0.004424778761061947	0.10452418096723869	0.093603744149766	0.09204368174726989	0.07320872274143302	0.0452418096723869	0.04387291981845688	0.007385524372230428	0.004431314623338257	0.0	0.01661631419939577	0.0	0.030303030303030304	0.060653188180404355	0.0014771048744460858	0.06074766355140187	0.027777777777777776	0.0014858841010401188	0.06230529595015576	0.03328290468986384	0.004431314623338257	0.04510108864696734	0.12636505460218408	0.02301255230125523	0.008385744234800839	0.0	0.00906344410876133
Integrin-signaling	0.047619047619047616	0.2	0.005361930294906166	0.0	0.0	0.05396825396825397	0.0053475935828877	0.0	0.3142857142857143	0.27936507936507937	0.28253968253968254	0.20634920634920634	0.19365079365079366	0.0	0.0	0.1737891737891738	0.008021390374331552	0.15142857142857144	0.0	0.0053475935828877	0.08253968253968254	0.010752688172043012	0.2	0.08446866485013624	0.00546448087431694	0.2	0.0053475935828877	0.14772727272727273	0.12063492063492064	0.0380952380952381	0.005361930294906166	0.005361930294906166	0.024193548387096774	0.0
MAPK6-MAPK4-signaling	0.1116584564860427	0.1485148514851485	0.012578616352201259	0.0	0.0	0.12871287128712872	0.025236593059936908	0.004594180704441042	0.19930675909878684	0.18717504332755633	0.1854419410745234	0.14686468646864687	0.12026359143327842	0.04559748427672956	0.0	0.010769230769230769	0.0015313935681470138	0.01732283464566929	0.0	0.04272151898734177	0.132013201320132	0.009259259259259259	0.13366336633663367	0.048109965635738834	0.039603960396039604	0.1353135313531353	0.03785488958990536	0.010769230769230769	0.12479474548440066	0.17218543046357615	0.014150943396226415	0.012578616352201259	0.0015313935681470138	0.01098901098901099
PI3K-AKT-Signaling	0.001544998068752414	0.045847750865051905	0.007427785419532325	0.00027693159789531985	0.008280430582390284	0.0	0.019548458149779735	0.0019089173711480775	0.10207612456747404	0.08650519031141868	0.08780276816608996	0.05795847750865052	0.06606370428627605	0.009881965413121054	0.0010955902492467817	0.03193894855850763	0.0019078768056691197	0.03229461756373938	0.0	0.0182370820668693	0.01903114186851211	0.011028398125172319	0.04325259515570934	0.02997737556561086	0.015164279696714406	0.04801038062283737	0.022050716648291068	0.027660174992943834	0.01623502126014689	0.025551684088269456	0.008542298153761367	0.007427785419532325	0.011570247933884297	0.003865267807840972
Signaling-by-Activin	0.06946983546617916	0.09426987060998152	0.0017969451931716084	0.0	0.004500450045004501	0.07783882783882784	0.0	0.0035587188612099642	0.16568627450980392	0.1588235294117647	0.15784313725490196	0.09611829944547134	0.08025830258302583	0.02710027100271003	0.008865248226950355	0.013404825737265416	0.0008849557522123894	0.017194570135746608	0.0	0.031067961165048542	0.08217913204062789	0.011565836298932384	0.0878003696857671	0.06686046511627906	0.0	0.08872458410351201	0.027412280701754384	0.013404825737265416	0.06946983546617916	0.11263467189030363	0.0026954177897574125	0.0017969451931716084	0.002654867256637168	0.007194244604316547
Signaling-by-BMP	0.01764705882352941	0.08235294117647059	0.005780346820809248	0.0	0.0	0.01764705882352941	0.1437125748502994	0.0	0.08235294117647059	0.08235294117647059	0.08235294117647059	0.08235294117647059	0.08235294117647059	0.04142011834319527	0.0	0.07058823529411765	0.0	0.07058823529411765	0.0	0.005813953488372093	0.01764705882352941	0.011627906976744186	0.08823529411764706	0.0	0.0	0.08235294117647059	0.17964071856287425	0.07058823529411765	0.01764705882352941	0.041916167664670656	0.005780346820809248	0.005780346820809248	0.0	0.0
Signaling-by-EGFR	0.0	0.012104283054003724	0.006512605042016807	0.00021105951878429716	0.004024571065452235	0.0	0.01173458502240239	0.0014601585314977055	0.0	0.0024982155603140615	0.0025	0.016521197007481298	0.02434077079107505	0.008600797147052653	0.0008371703641691084	0.005194218608852755	0.003343782654127482	0.006109979633401222	0.0	0.013053712818317997	0.011848341232227487	0.008842105263157894	0.0052844264843021444	0.0014104372355430183	0.007615317667536988	0.008398133748055987	0.013885921811578723	0.0024724657226342997	0.010583446404341926	0.014548449080428218	0.007363770250368188	0.006512605042016807	0.00882909396678579	0.002739148756847872
Signaling-by-ERBB2	0.000832408435072142	0.012206874397687119	0.00666523328316491	0.00021602937999567941	0.00411968777103209	0.0	0.012013979903888162	0.0014941302027748132	0.0181953212031192	0.0	0.002600297176820208	0.01832208293153327	0.025119617224880382	0.0077269800386349004	0.0008567144998929107	0.0069124423963133645	0.003420996365191362	0.006711409395973154	0.0	0.010945709281961471	0.013681970203709334	0.00904977375565611	0.005467996140238018	0.0014475271411338963	0.0078003120124804995	0.008687258687258687	0.0142169728783902	0.003222094361334868	0.011971046770601337	0.014997170345217883	0.007534983853606028	0.00666523328316491	0.009036144578313253	0.002802932298404485
