Signaling-by-MET	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-Insulin-receptor	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-SCF-KIT	Signaling-by-FGFR	ERK1-ERK2-pathway	Signaling-by-GPCR	Signaling-by-PDGF	Signaling-by-VEGF	DAG-and-IP3-signaling	Signaling-by-NTRKs	PI3K-AKT-Signaling	Signaling-by-WNT	Integrin-signaling	TNF-signaling	TRAIL-signaling	FasL--CD95L-signaling	Signaling-by-Activin	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-NOTCH	Signaling-by-PTK6	Signaling-by-Rho-GTPases	MAPK6-MAPK4-signaling	p75-NTR-receptor-mediated-signalling	Signaling-by-Hippo	mTOR-signalling	Signaling-by-Hedgehog	Signaling-by-Nuclear-Receptors	Signaling-by-Leptin	Signaling-by-BMP	Signaling-by-MST1
Signaling-by-MET	0.0	0.002813379180994061	0.009065332916536417	0.15328467153284672	0.13883617963314357	0.13978494623655913	0.10224045440201956	0.10977917981072555	0.10715411282697762	0.07554296506137866	0.09842271293375394	0.07236268526591107	0.06653108657757117	0.09408602150537634	0.08763647093537917	0.09082969432314411	0.005420827389443652	0.019925989183034443	0.017079419299743808	0.017648733276401936	0.02511415525114155	0.030830716528689694	0.03314285714285714	0.04456018518518518	0.0219435736677116	0.008259755055539733	0.003416856492027335	0.0017016449234259785	0.005952380952380952	0.014521640091116172	0.009080590238365494	0.0068239977253340914	0.003119682359614294	0.0011344299489506524
Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	0.00997340425531915	0.0	0.007503410641200546	0.1645484949832776	0.14858096828046743	0.14958263772954924	0.10918196994991652	0.11819699499165276	0.11452420701168614	0.08141474808141475	0.10484140233722872	0.07638036809815951	0.07234825260576333	0.10056746532156369	0.0931174089068826	0.09244471744471744	0.006332931242460796	0.020377584656877435	0.017380881030866047	0.017980221756068324	0.024947400060114217	0.030658250676284943	0.03009328919650918	0.048676604806814724	0.021739130434782608	0.008695652173913044	0.004201680672268907	0.0018001800180018	0.007207207207207207	0.014092953523238382	0.009600960096009602	0.008395802098950524	0.003298350824587706	0.0
Signaling-by-Insulin-receptor	0.00974342318934719	0.000999000999000999	0.0	0.16019736842105264	0.14603070891865402	0.14701078079059132	0.10686274509803921	0.11568627450980393	0.1120548840248285	0.08031341821743389	0.10258085592943482	0.07474382157926461	0.07147147147147147	0.09866583928017375	0.0912419896246567	0.09115523465703972	0.005906674542232723	0.01995305164319249	0.017018779342723004	0.017605633802816902	0.02442613301942319	0.03001765744555621	0.02946375957572186	0.049151027703306524	0.023063276167947958	0.008514386376981797	0.004114017043784896	0.0017626321974148062	0.007056748015289621	0.013799177921315325	0.009403467528651191	0.008220786846741044	0.0032295948326482677	0.0
Signaling-by-EGFR	0.004717775905644482	0.0030176026823134955	0.004037685060565276	0.0	0.001621120889300602	0.0018535681186283596	0.0057070386810399495	0.01143099068585944	0.009708737864077669	0.021542178377290114	0.0035918022395943377	0.0074985579696212265	0.0	0.009811937857726901	0.0	0.01938360147315371	0.0001598976654940838	0.016430052639974477	0.014659018483110261	0.014977692797960485	0.012090923746574238	0.01629820881071486	0.015996122152205527	0.0010398613518197574	0.007362565445026178	0.00481000481000481	0.0028744809964867456	0.0019065776930409914	0.007970667941973538	0.010822855323889862	0.009575486753909991	0.0038089192191715603	0.001901743264659271	0.0
Signaling-by-ERBB2	0.005434782608695652	0.0037212449255751017	0.006094464195022855	0.013849765258215962	0.0	0.0018783752054472881	0.005775401069518717	0.012398460880718255	0.009829059829059829	0.021991447770311544	0.0036355859709153123	0.008916456677650708	0.0005801585766776252	0.011943986820428337	0.0	0.01960399921584003	0.00016139444803098772	0.016580811332904056	0.014795754261820521	0.015117401093599228	0.012205044751830757	0.016452190910571755	0.016625916870415647	0.0010504201680672268	0.007433102081268583	0.004855154555753358	0.0029008863819500403	0.001924310455420141	0.008045052292839904	0.01027947317699968	0.009664948453608248	0.003843689942344651	0.0019193857965451055	0.0
Signaling-by-ERBB4	0.005339562823293843	0.003656307129798903	0.005988023952095809	0.013293605317442126	0.001145737855178735	0.0	0.005648535564853557	0.012126280577043697	0.009822361546499478	0.0215311004784689	0.003555741476678519	0.008738601823708206	0.0005686125852918878	0.01169119129207821	0.0	0.01940069150979639	0.00015870496746548166	0.01726049089469517	0.014550055353471453	0.014866360904633877	0.012	0.016175528507367073	0.016835016835016835	0.0010314595152140279	0.007631108946257509	0.004774029280712922	0.006024096385542169	0.0026813880126182964	0.007911392405063292	0.010586190551429927	0.01157994923857868	0.003780122853992755	0.0018876828692779614	0.0
Signaling-by-SCF-KIT	0.0068320747932398415	0.00394335902491486	0.006459716490220707	0.055299539170506916	0.04283740211883925	0.04375863657300783	0.0	0.013805798435342844	0.010809567617295308	0.02402271238261629	0.004143646408839779	0.010336985734959685	0.0010330578512396695	0.013262599469496022	0.0	0.02567287784679089	0.00017056114617090227	0.01751700680272109	0.01563030920829086	0.015970098538905877	0.017364657814096015	0.02197989436019765	0.021824381926683716	0.02967719541825755	0.014118457300275482	0.007659574468085106	0.0034048348655090228	0.002032864645095714	0.008500510030601836	0.01086034277956898	0.010209290454313425	0.005070993914807302	0.0020273694880892043	0.0
Signaling-by-FGFR	0.007204610951008645	0.003951149425287357	0.006472491909385114	0.05437297547431744	0.04314720812182741	0.043839409321642826	0.006920415224913495	0.0	0.010608856088560886	0.023642732049036778	0.003922473465620674	0.00933997509339975	0.0	0.012219506776271939	0.0	0.025731479560074703	0.00017088174982911826	0.017549838132560912	0.015659574468085108	0.016	0.017397236909432033	0.02202116763400478	0.02186539118551418	0.029892248870351062	0.014315281131424629	0.007673942701227831	0.0034112229234180454	0.002036659877800407	0.008516436722875149	0.01088065283917035	0.010068259385665529	0.005416384563303994	0.002031144211238998	0.0
ERK1-ERK2-pathway	0.0074531903290310855	0.003989844033369605	0.006534761299691414	0.05651564689397478	0.04390471742176553	0.044838860345632885	0.007237917347653514	0.014012143858010275	0.0	0.023925564909171467	0.004203643157403083	0.010270383567386292	0.0008378718056137411	0.013455931823278762	0.0	0.026050420168067228	0.00017247326664367022	0.0177128116938951	0.01580484452843154	0.016148428105136576	0.01755896023411947	0.02239448751076658	0.022068965517241378	0.03034555341168216	0.01445993031358885	0.00774526678141136	0.0032713498622589533	0.0020554984583761563	0.008595495960116899	0.01098335335507122	0.01016540317022743	0.005465414175918019	0.0020498804236419544	0.0
Signaling-by-GPCR	0.005401512423478574	0.003953279424977538	0.0066546762589928055	0.06907894736842106	0.05786935554581324	0.05852696185883385	0.02410694718387026	0.030462415077799693	0.027832566294104754	0.0	0.021696252465483234	0.010155440414507772	0.001035625517812759	0.022583368509919797	0.01694915254237288	0.026970954356846474	0.0001710278775440397	0.017567798055602935	0.015675583574714602	0.016016357130686658	0.01757679180887372	0.022537135052074442	0.021356569280710745	0.029549800104293412	0.013802622498274672	0.007167235494880546	0.002557980900409277	0.0020383896721589945	0.007309195988441272	0.01123213070115725	0.008386103029265788	0.0047425474254742545	0.002032864645095714	0.0
