Signaling-by-MET	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-Insulin-receptor	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-SCF-KIT	Signaling-by-FGFR	ERK1-ERK2-pathway	Signaling-by-GPCR	Signaling-by-PDGF	Signaling-by-VEGF	DAG-and-IP3-signaling	Signaling-by-NTRKs	PI3K-AKT-Signaling	Signaling-by-WNT	Integrin-signaling	TNF-signaling	TRAIL-signaling	FasL--CD95L-signaling	Signaling-by-Activin	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-NOTCH	Signaling-by-PTK6	Signaling-by-Rho-GTPases	MAPK6-MAPK4-signaling	p75-NTR-receptor-mediated-signalling	Signaling-by-Hippo	mTOR-signalling	Signaling-by-Hedgehog	Signaling-by-Nuclear-Receptors	Signaling-by-Leptin	Signaling-by-BMP	Signaling-by-MST1
Signaling-by-MET	0.0	0.0027386541471048514	0.010954616588419406	0.17105263157894737	0.15323541087733228	0.15442635966653434	0.11480601741884403	0.12425801345468936	0.12055335968379446	0.08050513022888714	0.11001187178472498	0.07684060042887778	0.07038227938549482	0.10351201478743069	0.09577567370721049	0.09419770773638969	0.006638714185883997	0.021254355400696864	0.018118466898954706	0.018815331010452963	0.027263194687172317	0.032867132867132866	0.026251312565628283	0.04550302168503377	0.023028611304954642	0.00906555090655509	0.0027884280237016382	0.001734304543877905	0.005545927209705373	0.014290693621470896	0.0055536272127733426	0.008350730688935281	0.00346860908775581	0.001387443635102324
Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	0.012608695652173913	0.0	0.009442446043165468	0.17835232252410166	0.15784871010056842	0.15916047223436816	0.12330564057717534	0.1355487538259729	0.12986445124617402	0.08606378331148973	0.11805859204197638	0.07915360501567398	0.07556773688332029	0.1112012987012987	0.10187774670395526	0.09811616954474098	0.008052147239263804	0.013313046785850133	0.011411182959300114	0.011791555724610117	0.02787323405880107	0.03360061092019855	0.023326959847036328	0.04110120201628538	0.01152073732718894	0.001903311762466692	0.004192073170731708	0.002285714285714286	0.007246376811594203	0.013703844689760183	0.006095238095238095	0.005709935287400076	0.003806623524933384	0.0
Signaling-by-Insulin-receptor	0.012446351931330472	0.00044365572315882877	0.0	0.17677869925796597	0.1578719723183391	0.15916955017301038	0.12332323669407183	0.13543920380787539	0.12975778546712802	0.08729472774416594	0.11807958477508651	0.07979758660957571	0.07671445176288261	0.11075181891673404	0.10205696202531646	0.09902912621359224	0.0075843761850587785	0.013162843174125612	0.011282437006393382	0.011658518239939826	0.027557568893922236	0.03322008305020763	0.023062381852551984	0.043328220858895705	0.01405241169768325	0.001881821603312006	0.004144687264506406	0.0022598870056497176	0.007164404223227752	0.013549115543846444	0.006028636021100226	0.005645464809936018	0.003763643206624012	0.0
Signaling-by-EGFR	0.004857737682165163	0.0031066620642043494	0.0041572839078468735	0.0	0.0016879672052085846	0.0019300361881785283	0.0059210526315789476	0.011860311882275423	0.010072257499452595	0.021476230191826522	0.003726435773783428	0.007753479125248509	0.0	0.009955517898750264	0.0	0.01764234161988773	0.0001643925694558606	0.016890783863561822	0.01506961506961507	0.015397215397215397	0.011770557029177718	0.016096913375373383	0.016450648055832504	0.0010716199321307376	0.0074061605790271	0.004780745136828223	0.0029551797734362175	0.0016331863465621427	0.00819403474270731	0.01030759162303665	0.009844134536505332	0.003915171288743882	0.0019547157517510994	0.0
Signaling-by-ERBB2	0.005610098176718092	0.003840782122905028	0.006290407129128079	0.014474975466143278	0.0	0.00196319018404908	0.006012024048096192	0.01290609701824655	0.010231316725978648	0.022001269303998306	0.003784505788067676	0.009246231155778894	0.00060156406657309	0.012200342465753425	0.0	0.017897091722595078	0.00016633399866932801	0.017086927670869275	0.015246934040437522	0.01557838912827312	0.01191075322932394	0.016288832913518052	0.017139976474542094	0.001085383502170767	0.007495741056218058	0.004837364470391993	0.0029895366218236174	0.001487111698612029	0.0082904990880451	0.008771929824561403	0.0099601593625498	0.0039603960396039604	0.001977587343441002	0.0
Signaling-by-ERBB4	0.005502063273727648	0.003767123287671233	0.006169665809768638	0.01385570950788342	0.0011941724385001193	0.0	0.005865739734955464	0.012592270950933565	0.010199652777777778	0.02149204381070469	0.0036924413553431797	0.009042657755061922	0.000588350656991567	0.011914715719063546	0.0	0.017697355339033605	0.00016329196603527107	0.01775822743564679	0.014969085584119753	0.015294500488122356	0.011691091717437839	0.015988132520191198	0.017326732673267328	0.0010638297872340426	0.007689735874289535	0.004748649091206812	0.006198010112542815	0.0024338796040889177	0.008139345596614032	0.010078023407022107	0.011914476905500244	0.0038885288399222295	0.001941747572815534	0.0
Signaling-by-SCF-KIT	0.007124975929135375	0.004222648752399232	0.006917755572636433	0.056912616469403175	0.043292222501887745	0.04429901837402467	0.0	0.015086748805632386	0.011812013068610204	0.02517814726840855	0.004528301886792453	0.010743061772605193	0.0011183180496533215	0.014199759326113117	0.0	0.02488231338264963	0.00018201674554058973	0.018689892941389948	0.016675729563168387	0.017038245423237265	0.017438692098092644	0.022363636363636363	0.023107714701601164	0.029111811607639534	0.013973156830299687	0.006538321830730113	0.0036330608537693005	0.0016263100831225153	0.009069472156720479	0.009594496741491673	0.010893246187363835	0.005408328826392645	0.002162162162162162	0.0
Signaling-by-FGFR	0.006956521739130435	0.00423810441148141	0.0069431051108968175	0.05525982256020279	0.0429618397776093	0.043719989891331815	0.007326932794340576	0.0	0.011619095731245263	0.024815079933190168	0.00429618397776093	0.009682503940553928	0.0	0.013094083414161009	0.0	0.024988743809095004	0.00018264840182648402	0.018572469045884922	0.01655147326300473	0.01673335758457621	0.017499088589135983	0.022441160372194856	0.02318787657476721	0.028826483169053375	0.014204021398266002	0.0065609622744669215	0.0036456434560699965	0.0016319129646418858	0.009100837277029487	0.009627611262488647	0.010760532555170527	0.005243174832760803	0.0021695895859699874	0.0
ERK1-ERK2-pathway	0.00723645609231371	0.004291845493562232	0.007029876977152899	0.05778120184899846	0.04391371340523883	0.044940934771443244	0.007702182284980745	0.015408320493066256	0.0	0.025206010664081433	0.004622496147919877	0.010723248916267396	0.0009119927040583675	0.014492753623188406	0.0	0.025388838060384264	0.00018484288354898336	0.018794914317302378	0.016749493833977544	0.016933554205779494	0.01770890979524073	0.02270629499723094	0.02346637102734664	0.029361942405420668	0.014387144992526158	0.0066396163777203985	0.0035055350553505533	0.0016513761467889909	0.009209799226376865	0.009744438315866888	0.010893648449039882	0.0053045546003292485	0.0021953896816684962	0.0
Signaling-by-GPCR	0.0056027820710973725	0.004241372662425294	0.007140100347356233	0.07173601147776183	0.05951242829827916	0.06022944550669216	0.026045400238948625	0.032974910394265235	0.02986857825567503	0.0	0.023416965352449224	0.010568922869350123	0.0011235955056179776	0.023623853211009176	0.01817768688934333	0.025889239081494823	0.00018284878405558602	0.018596171376481313	0.01657257330176653	0.01675468949189583	0.017694272163444	0.02281438218653039	0.02264840182648402	0.02902325581395349	0.01347360649686231	0.006019700839109814	0.0027342325920524974	0.0016336903249228535	0.007811080835603996	0.011276827937431793	0.008966148215919487	0.005066956207021353	0.0021719457013574662	0.0
Signaling-by-PDGF	0.007523148148148148	0.004230769230769231	0.006929740134744947	0.05702750441584658	0.043642785065590314	0.044399596367305755	0.007566204287515763	0.014876449823499747	0.011592741935483871	0.024761904761904763	0.0	0.010327795240233499	0.0006727965911639381	0.013758146270818247	0.0	0.024938216131206472	0.00018234865061998541	0.018723868387565897	0.01670601053205012	0.01706918467405121	0.017470427661510465	0.022400291385904207	0.023149835946044476	0.029335313776457483	0.014180478821362799	0.006550218340611353	0.003639672429481347	0.0016292541636495294	0.009085953116481919	0.00961189698948132	0.010913059294288832	0.005596678100740206	0.0021660649819494585	0.0
