Signaling-by-MET	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-Insulin-receptor	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-SCF-KIT	Signaling-by-FGFR	ERK1-ERK2-pathway	Signaling-by-GPCR	Signaling-by-PDGF	Signaling-by-VEGF	DAG-and-IP3-signaling	Signaling-by-NTRKs	PI3K-AKT-Signaling	Signaling-by-WNT	Integrin-signaling	TNF-signaling	TRAIL-signaling	FasL--CD95L-signaling	Signaling-by-Activin	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-NOTCH	Signaling-by-PTK6	Signaling-by-Rho-GTPases	MAPK6-MAPK4-signaling	p75-NTR-receptor-mediated-signalling	Signaling-by-Hippo	mTOR-signalling	Signaling-by-Hedgehog	Signaling-by-Nuclear-Receptors	Signaling-by-Leptin	Signaling-by-BMP	Signaling-by-MST1
Signaling-by-MET	0.0	0.0	0.0	0.23809523809523808	0.17518248175182483	0.17518248175182483	0.125	0.1793103448275862	0.16216216216216217	0.03289473684210526	0.13793103448275862	0.01201923076923077	0.011990407673860911	0.05572755417956656	0.04945054945054945	0.012195121951219513	0.00625	0.0	0.0	0.0	0.0	0.0	0.0	0.013921113689095127	0.002066115702479339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	0.015384615384615385	0.0	0.018518518518518517	0.16071428571428573	0.13675213675213677	0.13675213675213677	0.13675213675213677	0.13675213675213677	0.18803418803418803	0.03361344537815126	0.13675213675213677	0.010471204188481676	0.010416666666666666	0.05442176870748299	0.04804804804804805	0.010582010582010581	0.0045662100456621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002304147465437788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Signaling-by-Insulin-receptor	0.0125	0.0	0.0	0.1652892561983471	0.1267605633802817	0.13380281690140844	0.1276595744680851	0.1276595744680851	0.16901408450704225	0.041666666666666664	0.1267605633802817	0.015037593984962405	0.014598540145985401	0.05921052631578947	0.05027932960893855	0.014814814814814815	0.008565310492505354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021598272138228943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Signaling-by-EGFR	0.0037056643726839597	0.0010422094841063053	0.0026343519494204425	0.0	0.01838235294117647	0.011111111111111112	0.0	0.035398230088495575	0.011560693641618497	0.016286644951140065	0.008733624454148471	0.007792207792207792	0.0	0.0	0.0	0.0	0.0	0.000449842555105713	0.0004484304932735426	0.0004484304932735426	0.0	0.0	0.0004666355576294914	0.000580046403712297	0.000484027105517909	0.0	0.0004512635379061372	0.0	0.00224517287831163	0.0	0.0018018018018018018	0.0	0.0	0.0
Signaling-by-ERBB2	0.0033351862145636463	0.0010970927043335162	0.0027502750275027505	0.07602339181286549	0.0	0.01764705882352941	0.0	0.013582342954159592	0.01353637901861252	0.01824817518248175	0.008517887563884156	0.008411214953271028	0.0	0.0	0.0	0.0	0.0	0.0004710315591144607	0.0004697040864255519	0.0004697040864255519	0.0	0.0	0.0	0.0006161429451632779	0.0005089058524173028	0.0	0.0004725897920604915	0.0	0.0023518344308560675	0.0	0.0018876828692779614	0.0	0.0	0.0
Signaling-by-ERBB4	0.0032626427406199023	0.0010735373054213634	0.002691065662002153	0.05741626794258373	0.014285714285714285	0.0	0.0	0.012718600953895072	0.012678288431061807	0.01740139211136891	0.007974481658692184	0.008108108108108109	0.0	0.0	0.0	0.0	0.0	0.00046274872744099955	0.0004610419548178884	0.0004610419548178884	0.0	0.0	0.0	0.0006013229104028864	0.0004987531172069825	0.0	0.00046425255338904364	0.0	0.0023084025854108957	0.0	0.0018604651162790699	0.0	0.0	0.0
Signaling-by-SCF-KIT	0.004908835904628331	0.001386001386001386	0.0055671537926235215	0.11764705882352941	0.06310679611650485	0.06796116504854369	0.0	0.08095238095238096	0.03773584905660377	0.033860045146726865	0.03365384615384615	0.007132667617689016	0.0014204545454545455	0.002577319587628866	0.0	0.005763688760806916	0.0	0.0005733944954128441	0.0005714285714285715	0.0005714285714285715	0.0023014959723820483	0.002308136180034622	0.002313475997686524	0.005535055350553505	0.0017942583732057417	0.0017251293847038527	0.0005753739930955121	0.0	0.0028636884306987398	0.0	0.0022975301550832855	0.0011235955056179776	0.0	0.0
Signaling-by-FGFR	0.003389830508474576	0.0013413816230717639	0.003367003367003367	0.08163265306122448	0.038910505836575876	0.038910505836575876	0.0	0.0	0.03088803088803089	0.03054989816700611	0.019455252918287938	0.005398110661268556	0.0	0.0	0.0	0.005390835579514825	0.0	0.0005580357142857143	0.0005561735261401557	0.0005561735261401557	0.0022396416573348264	0.0022459292532285235	0.0022509848058525606	0.004770423375074538	0.0017431725740848344	0.0016787912702853946	0.0005599104143337066	0.0	0.002787068004459309	0.0	0.002243409983174425	0.0	0.0	0.0
ERK1-ERK2-pathway	0.001422475106685633	0.0014094432699083862	0.003536067892503536	0.06417112299465241	0.053475935828877004	0.058823529411764705	0.0	0.0481283422459893	0.0	0.03579952267303103	0.026737967914438502	0.0073964497041420114	0.0014727540500736377	0.0027472527472527475	0.0	0.006015037593984963	0.0	0.0005813953488372093	0.0005793742757821553	0.0005793742757821553	0.002333722287047841	0.0023391812865497076	0.002346041055718475	0.0049813200498132005	0.00182370820668693	0.001749271137026239	0.0005837711617046118	0.0	0.0029036004645760743	0.0	0.0023405500292568754	0.0	0.0	0.0
Signaling-by-GPCR	0.0	0.0006238303181534623	0.0006257822277847309	0.016722408026755852	0.015	0.016666666666666666	0.0033277870216306157	0.0033277870216306157	0.014975041597337771	0.0	0.0066555740432612314	0.0034762456546929316	0.0	0.002577319587628866	0.0024479804161566705	0.004662004662004662	0.0	0.0005260389268805891	0.0005243838489774515	0.0005243838489774515	0.002107481559536354	0.0021108179419525065	0.0021152829190904283	0.003908431044109436	0.0016357688113413304	0.0015806111696522655	0.0005257623554153522	0.0	0.0	0.0	0.0	0.0	0.0	0.0
