DAG-and-IP3-signaling	ERK1-ERK2-pathway	FasL--CD95L-signaling	Integrin-signaling	MAPK6-MAPK4-signaling	PI3K-AKT-Signaling	Signaling-by-Activin	Signaling-by-BMP	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-FGFR	Signaling-by-GPCR	Signaling-by-Hedgehog	Signaling-by-Hippo	Signaling-by-Insulin-receptor	Signaling-by-Leptin	Signaling-by-MET	Signaling-by-MST1	Signaling-by-NOTCH	Signaling-by-NTRKs	Signaling-by-Nuclear-Receptors	Signaling-by-PDGF	Signaling-by-PTK6	Signaling-by-Rho-GTPases	Signaling-by-SCF-KIT	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-VEGF	Signaling-by-WNT	TNF-signaling	TRAIL-signaling	mTOR-signalling	p75-NTR-receptor-mediated-signalling
DAG-and-IP3-signaling	0.0	0.05154382470119522	0.018957345971563982	0.0001984126984126984	0.008902077151335312	0.022399203583872575	0.020738692474817303	0.002354788069073783	0.10052382140184585	0.08916562889165629	0.08916562889165629	0.049139436268396106	0.05197712011937329	0.013012618296529969	0.0027559055118110236	0.027091633466135457	0.005884660651235779	0.023543495610534718	0.0	0.02471821237888076	0.030182090296832127	0.010470169893322797	0.04682440846824409	0.036403861625100564	0.0162097258355013	0.05128205128205128	0.026482213438735178	0.02389010551463269	0.011474183088051882	0.03182496270512183	0.020759193357058125	0.018562401263823063	0.00847123719464145	0.0031639311844967374
ERK1-ERK2-pathway	0.0008103727714748784	0.0	0.016045462142737756	0.00016778523489932885	0.008037508372404554	0.0	0.01708256573438285	0.0019946808510638296	0.05603060306030603	0.04387938793879388	0.04477947794779478	0.013501350135013501	0.0237382378100941	0.011020203706795793	0.0023333333333333335	0.0063480867571856815	0.005318264916071132	0.007239978809818117	0.0	0.02146930560214693	0.012984202553559835	0.010056989607777405	0.004275427542754276	0.03070100631076241	0.014063029481531684	0.006974128233970754	0.02178649237472767	0.003875968992248062	0.009933103588080276	0.025802519301097115	0.017567341475656684	0.015711181681430722	0.008362602441879913	0.0033500837520938024
FasL--CD95L-signaling	0.07548845470692718	0.11017325633051978	0.0	0.003937007874015748	0.006607929515418502	0.09147424511545293	0.037444933920704845	0.0034980323567993005	0.15333333333333332	0.13777777777777778	0.13733333333333334	0.10528653931585961	0.08666666666666667	0.028193832599118944	0.004811898512685914	0.017935258092738406	0.005247048535198951	0.022457067371202115	0.0	0.050683120317320404	0.09635879218472469	0.010061242344706912	0.10173256330519768	0.04253433761630483	0.014022787028921999	0.10128831630386495	0.04669603524229075	0.015748031496062992	0.08214920071047957	0.11955555555555555	0.010062290368950648	0.0019175455417066154	0.0030621172353455816	0.005284015852047556
Integrin-signaling	0.0703012912482066	0.14155906264945003	0.021405304792926943	0.0	0.012093023255813953	0.0975609756097561	0.035813953488372095	0.0032558139534883722	0.20181731229076996	0.18220946915351507	0.18268770923003347	0.14155906264945003	0.10903873744619799	0.02	0.0	0.05923836389280677	0.009767441860465116	0.05174035747883349	0.0	0.04697674418604651	0.11238641798182687	0.013500931098696461	0.13534194165471067	0.0648623425104993	0.036414565826330535	0.13486370157819225	0.04372093023255814	0.052161654135338346	0.09086561453849833	0.09134385461501673	0.025127966496044672	0.020009306654257795	0.009776536312849162	0.004653327128897162
MAPK6-MAPK4-signaling	0.08022690437601297	0.118052738336714	0.01963927855711423	0.0003980891719745223	0.0	0.09533468559837728	0.03569995988768552	0.0031847133757961785	0.15517241379310345	0.14080459770114942	0.14039408866995073	0.11399594320486815	0.09286293592862936	0.02525050100200401	0.0015923566878980893	0.01753686727779992	0.00875796178343949	0.01884522854851644	0.0	0.04737053392211963	0.10223123732251521	0.011966493817311527	0.1050709939148073	0.04629250307251127	0.02231237322515213	0.1050709939148073	0.04372242278379462	0.014746911119968115	0.08670988654781199	0.11896061713357693	0.022845691382765532	0.01843687374749499	0.003980891719745223	0.006009615384615385
PI3K-AKT-Signaling	0.001312048983162038	0.03328677839851024	0.017084890549919914	0.00017873100983020553	0.008560727661851257	0.0	0.018518518518518517	0.002123517961422757	0.08123836126629423	0.0691340782122905	0.07006517690875233	0.03654562383612663	0.04749282085266181	0.011729162964279368	0.002484472049689441	0.025353132922854037	0.005837608349548912	0.02629669931084512	0.0	0.022844904515438157	0.016527001862197393	0.009802174300481198	0.028864059590316574	0.03351449275362319	0.01496844003606853	0.031424581005586594	0.023521026372059873	0.022797177492310475	0.011376066506234959	0.027370264944164658	0.01870657402458578	0.016728955330129917	0.008906305664410403	0.003745986443096682
Signaling-by-Activin	0.06984442237669646	0.09837155201063476	0.01611842105263158	0.00032711808963035657	0.007241606319947334	0.08214640609473335	0.0	0.0013110455588331695	0.1476077366813709	0.13607058025110283	0.13607058025110283	0.09936856098371552	0.08269677847891066	0.01977587343441002	0.00425531914893617	0.018384766907419567	0.007850834151128557	0.021437994722955146	0.0	0.032803517078119716	0.08770764119601329	0.012127171419206818	0.09272183449651047	0.04866508955728287	0.003601833660772757	0.09205716184778996	0.009862627685804861	0.017399868680236377	0.07116848725587553	0.09769335142469471	0.019078947368421053	0.015789473684210527	0.003598298985933922	0.0036196117143797303
Signaling-by-BMP	0.0847913862718708	0.11709286675639301	0.024848891873740765	0.000671591672263264	0.013431833445265278	0.09152086137281291	0.05461901550910317	0.0	0.1541049798115747	0.13593539703903096	0.13593539703903096	0.11305518169582772	0.10363391655450875	0.030303030303030304	0.000671591672263264	0.026917900403768506	0.017461383478844864	0.031628532974428	0.0	0.0739247311827957	0.0955585464333782	0.016129032258064516	0.10767160161507403	0.03223640026863667	0.0033579583613163196	0.10767160161507403	0.06945380984490897	0.026917900403768506	0.08546433378196501	0.1227242076871207	0.03290799194089993	0.024848891873740765	0.0033579583613163196	0.004029550033579583
Signaling-by-EGFR	0.0	0.009486492060218602	0.015030530765617662	0.00015710919088766692	0.004725897920604915	0.0	0.011878365536902122	0.0018688677776047345	0.0	0.0015804922104312486	0.0018070928393946238	0.011168562564632886	0.021662071681764473	0.01079136690647482	0.002185792349726776	0.003963666391412056	0.0037429819089207735	0.004631161098246774	0.0	0.015714285714285715	0.009594243453927643	0.009408812921436412	0.0037159372419488025	0.0010202346539704133	0.007231238952273823	0.0055762081784386614	0.01601141407736208	0.0029624753127057276	0.007341867469879518	0.01935483870967742	0.016457680250783698	0.014717394708000627	0.007832080200501253	0.0029813274752863643
Signaling-by-ERBB2	0.0005678591709256105	0.009599332220367279	0.015165876777251185	0.0001585288522511097	0.004768717215069146	0.0	0.011986575035959726	0.0018856065367693275	0.013494967978042087	0.0	0.0018302447952413636	0.012108559498956159	0.022098347601035236	0.01041337961502051	0.002205419029615627	0.005981059976740323	0.003775959723096287	0.005333333333333333	0.0	0.016327837361933727	0.011674718196457327	0.00949367088607595	0.0037593984962406013	0.0010302197802197802	0.007298086279597794	0.0056402757468142885	0.016157414813629818	0.0036520584329349268	0.00872699677480554	0.01956646844427393	0.016603415559772294	0.014849921011058451	0.00790263948158685	0.0030077568466044006
Signaling-by-ERBB4	0.0005568962316688324	0.00959967320261438	0.014920733602735468	0.00015595757953836556	0.004691164972634871	0.0	0.011790598962427292	0.0018552875695732839	0.012963790791238265	0.0011173184357541898	0.0	0.011851246424192888	0.021650087770626096	0.010559006211180125	0.0029452798015811503	0.005879470847623714	0.0037151702786377707	0.005242463958060288	0.0	0.0165406427221172	0.011435331230283912	0.011379579111457521	0.003679476696647588	0.0010121457489878543	0.007496012759170654	0.005520343488039256	0.015892997639653815	0.0035900783289817234	0.008558139534883722	0.019371826217791988	0.01727357609710551	0.014609884986011812	0.007774840615767377	0.006075712727839227
Signaling-by-FGFR	0.0	0.010215411947590495	0.015888778550148957	0.0001661405549094534	0.007958879124523296	0.0	0.01691542288557214	0.0019753086419753087	0.053909556694141235	0.04310153299266829	0.04376805154410131	0.0	0.023442449841605068	0.010910894362704579	0.0023106123122627496	0.006283819165648455	0.005267489711934157	0.0069942297604476305	0.0	0.0212589270885235	0.01178234790059983	0.009955201592832254	0.003999111308598089	0.03023137983448742	0.013914501257334452	0.006663705019991115	0.021410788381742738	0.0038360941586748037	0.009027081243731194	0.02547131969514641	0.01739562624254473	0.015557762330354188	0.008280887711162636	0.003482587064676617
Signaling-by-GPCR	0.0011933174224343676	0.027293722443837917	0.015818091942659415	0.000165371258475277	0.007425742574257425	0.016870857601928097	0.016996699669966996	0.0019662461084712438	0.06911764705882353	0.05837883242335153	0.05900881982360353	0.029813142977115265	0.0	0.011026991441737986	0.0022999835715459176	0.006423611111111111	0.005242463958060288	0.005908932916232186	0.0	0.02065091690071039	0.022681247468610773	0.008274036074797287	0.021834977955070334	0.030404837896858727	0.0133422281521014	0.024144446777241233	0.021792966815255076	0.003816131830008673	0.009950248756218905	0.026693227091633465	0.017318159327065808	0.015488548360520679	0.007068880486602006	0.002638522427440633
Signaling-by-Hedgehog	0.07881773399014778	0.11949924127465858	0.021140052850132124	0.00037509377344336085	0.008682521706304265	0.09738537324744222	0.0340522133938706	0.0033809166040570998	0.1627465857359636	0.14941221084565795	0.149146110056926	0.11642017444065225	0.11760242792109256	0.0	0.0015003750937734434	0.02365752910251596	0.005251312828207052	0.02491506228765572	0.0	0.04929844520288206	0.10382720727548314	0.00900225056264066	0.11149032992036405	0.04617713853141559	0.00900225056264066	0.1111111111111111	0.04161937192584184	0.022155463762673678	0.08033345964380448	0.11744583808437856	0.02416918429003021	0.020385050962627407	0.003000750187546887	0.004530011325028313
