DAG-and-IP3-signaling	ERK1-ERK2-pathway	FasL--CD95L-signaling	Integrin-signaling	MAPK6-MAPK4-signaling	PI3K-AKT-Signaling	Signaling-by-Activin	Signaling-by-BMP	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-FGFR	Signaling-by-GPCR	Signaling-by-Hedgehog	Signaling-by-Hippo	Signaling-by-Insulin-receptor	Signaling-by-Leptin	Signaling-by-MET	Signaling-by-MST1	Signaling-by-NOTCH	Signaling-by-NTRKs	Signaling-by-Nuclear-Receptors	Signaling-by-PDGF	Signaling-by-PTK6	Signaling-by-Rho-GTPases	Signaling-by-SCF-KIT	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-VEGF	Signaling-by-WNT	TNF-signaling	TRAIL-signaling	mTOR-signalling	p75-NTR-receptor-mediated-signalling
DAG-and-IP3-signaling	0.0	0.06389413988657845	0.010018954779312212	0.0002725538293813028	0.008143322475570033	0.029089535323007176	0.02112676056338028	0.0026845637583892616	0.1133434420015163	0.10363086232980333	0.10363086232980333	0.06292645943896892	0.06641509433962264	0.011078087003512564	0.0010784578053383662	0.03069334064127158	0.0024148108398175474	0.02581708321889591	0.0	0.022517634291915355	0.035253980288097043	0.01219181793551883	0.059001512859304085	0.03415717856151069	0.019029233314947602	0.06462585034013606	0.026294388723231227	0.02573932092004381	0.0155420773313116	0.03017729158807997	0.012476267968538107	0.010018954779312212	0.010796221322537112	0.0037981551817688553
ERK1-ERK2-pathway	0.0011242270938729624	0.0	0.009120521172638436	0.00021824530772588389	0.007183282542446669	0.0	0.017853254953189637	0.0021561017680034496	0.06425309849967384	0.04827136333985649	0.04957599478147423	0.019243313763861708	0.029411764705882353	0.008891780524831923	0.0008654262224145391	0.00791986955508968	0.002155636990730761	0.007934655775962661	0.0	0.02050610820244328	0.016034535923527597	0.011551874455100261	0.005544683626875407	0.029654403567447047	0.015694076038903625	0.009455493968046952	0.021791239921551537	0.003489995346672871	0.013220815752461323	0.023984198645598195	0.011089367253750815	0.009120521172638436	0.010215170615083678	0.004137630662020906
FasL--CD95L-signaling	0.04207920792079208	0.07063197026022305	0.0	0.007125890736342043	0.0012106537530266344	0.05693069306930693	0.018159806295399514	0.0035587188612099642	0.10669975186104218	0.08933002481389578	0.0880893300248139	0.07311028500619579	0.04714640198511166	0.0387409200968523	0.007125890736342043	0.00831353919239905	0.0	0.02418379685610641	0.0	0.03515151515151515	0.06064356435643564	0.0011876484560570072	0.061957868649318466	0.025830258302583026	0.002386634844868735	0.0644361833952912	0.03026634382566586	0.00831353919239905	0.04702970297029703	0.12034739454094293	0.029548989113530325	0.006230529595015576	0.0	0.007255139056831923
Integrin-signaling	0.055944055944055944	0.1958041958041958	0.004106776180698152	0.0	0.0	0.07692307692307693	0.00819672131147541	0.0	0.31002331002331	0.27505827505827507	0.2773892773892774	0.20512820512820512	0.1655011655011655	0.0	0.0	0.15913978494623657	0.006147540983606557	0.12284482758620689	0.0	0.00819672131147541	0.10722610722610723	0.00823045267489712	0.1958041958041958	0.09355509355509356	0.008333333333333333	0.19347319347319347	0.00819672131147541	0.12446351931330472	0.12354312354312354	0.04428904428904429	0.004106776180698152	0.004106776180698152	0.026748971193415638	0.0
MAPK6-MAPK4-signaling	0.10888610763454318	0.1658291457286432	0.012106537530266344	0.0	0.0	0.13944723618090452	0.019417475728155338	0.0035587188612099642	0.2138200782268579	0.19556714471968709	0.19426336375488917	0.157035175879397	0.12045169385194479	0.0387409200968523	0.0	0.014285714285714285	0.002372479240806643	0.02303030303030303	0.0	0.045012165450121655	0.14321608040201006	0.010739856801909307	0.1457286432160804	0.04922279792746114	0.0414572864321608	0.14949748743718594	0.03155339805825243	0.014285714285714285	0.12015018773466833	0.15994962216624686	0.020581113801452784	0.012106537530266344	0.0035587188612099642	0.010882708585247884
PI3K-AKT-Signaling	0.0018709073900841909	0.04061433447098976	0.009405125793557489	0.00023646252069047056	0.00778118368309361	0.0	0.01858823529411765	0.002333722287047841	0.09385665529010238	0.07849829351535836	0.07986348122866894	0.048464163822525594	0.0591584941474217	0.009622154423844167	0.0009369875849144999	0.029595765158806544	0.0025658968975973873	0.02965284474445516	0.0	0.02124144441822044	0.019795221843003412	0.011307420494699646	0.03651877133105802	0.031535869041887335	0.01698971045704714	0.04061433447098976	0.022845030617051343	0.025234318673395817	0.015600624024960999	0.024679787566385506	0.011537555921827172	0.009405125793557489	0.011064030131826741	0.0047169811320754715
Signaling-by-Activin	0.058301647655259824	0.08045977011494253	0.0012523481527864746	0.0006195786864931846	0.006896551724137931	0.06598984771573604	0.0	0.0024875621890547263	0.13962765957446807	0.13031914893617022	0.12965425531914893	0.08109833971902937	0.06887755102040816	0.020741671904462602	0.00620347394540943	0.01372426699937617	0.0012391573729863693	0.018879798615481436	0.0	0.042932628797886396	0.06892150606253988	0.013059701492537313	0.07407407407407407	0.05672823218997362	0.0012414649286157666	0.07471264367816093	0.01862464183381089	0.01372426699937617	0.059569074778200254	0.09102990033222591	0.005635566687539136	0.0012523481527864746	0.0030978934324659233	0.005012531328320802
Signaling-by-BMP	0.047244094488188976	0.09055118110236221	0.023346303501945526	0.0	0.0038910505836575876	0.047244094488188976	0.13545816733067728	0.0	0.09055118110236221	0.09055118110236221	0.09055118110236221	0.09055118110236221	0.09055118110236221	0.02766798418972332	0.0	0.05511811023622047	0.0	0.05511811023622047	0.0	0.00390625	0.047244094488188976	0.01953125	0.09448818897637795	0.0038910505836575876	0.0038910505836575876	0.09055118110236221	0.1752988047808765	0.05511811023622047	0.047244094488188976	0.06374501992031872	0.023346303501945526	0.023346303501945526	0.0	0.0
Signaling-by-EGFR	0.0	0.010783055198973043	0.007914595987483895	0.00018480872297172427	0.004449388209121246	0.0	0.011194029850746268	0.0018291567587342234	0.0	0.002014388489208633	0.002303484019579614	0.013656274156145324	0.023278370514064017	0.008639705882352942	0.00091726288754357	0.004704959811801608	0.003664345914254306	0.0053024351924587584	0.0	0.01627384960718294	0.010866880711286737	0.009957588050894339	0.004370179948586119	0.0012177795818956768	0.007971152021256405	0.006944444444444444	0.014381770638774749	0.0025380710659898475	0.008949059201468563	0.015060240963855422	0.009583486914854404	0.007914595987483895	0.00865561694290976	0.0033216460601587007
Signaling-by-ERBB2	0.0007014262333411269	0.011093502377179081	0.008076634109691961	0.0001886080724254998	0.004541154210028382	0.0	0.011426394972386213	0.001866368047779022	0.016636957813428402	0.0	0.00237741456166419	0.015063424947145878	0.02414737366193677	0.007689422355588897	0.0007487832272557095	0.006981847197287053	0.003738317757009346	0.0058069683620344415	0.0	0.013737836290784202	0.013629480060575468	0.010161836657884832	0.004494976203067161	0.0012453300124533001	0.00813953488372093	0.007140967997884158	0.014680648236415635	0.0031885213232363493	0.01078546307151231	0.015450439743285001	0.009778112072207596	0.008076634109691961	0.008832926141702687	0.0033891922425155338
Signaling-by-ERBB4	0.0006808896958692692	0.010983397190293741	0.007885567577480285	0.00018412815319462345	0.004432951606944958	0.0	0.011152416356877323	0.001822489520685256	0.015745777268823362	0.0014310246136233543	0.0	0.014566828520316892	0.023396044380125422	0.008609635464370763	0.0016453382084095063	0.006806690003889537	0.003650301149844862	0.005660745656841694	0.0	0.01714179243525247	0.013199706673185041	0.012881854987118146	0.004346714395295321	0.001212856276531231	0.00831915295897145	0.00690537084398977	0.014328247115742463	0.003108606955508063	0.010468821119708694	0.015452029520295204	0.010651974288337925	0.007885567577480285	0.008623853211009174	0.006987863184994484
Signaling-by-FGFR	0.0	0.013082322910019146	0.008987802268350097	0.00021505376344086021	0.007078507078507079	0.0	0.017592791246513622	0.0021249468763280916	0.06153846153846154	0.04693486590038314	0.04789272030651341	0.0	0.028817587641117054	0.00876068376068376	0.0008528784648187633	0.007798165137614679	0.0025499362515937103	0.007586206896551724	0.0	0.020206362854686157	0.01424674143679903	0.011592958351223702	0.005108556832694764	0.02899824253075571	0.015448215839860748	0.00893712097031599	0.02147766323024055	0.003435639028859368	0.011891592920353982	0.023500138236107273	0.010927790872080565	0.008987802268350097	0.010066395373741701	0.004290924694271616
